Region,Nodo,tac,lac,Total de Sectores,estado por sector,Relacion TAC-LAC,Color tecnologia,Color,Descripcion,Latitud,Longitud,Azimuth,BeamWidth,Height
REGION 4,TA2647L2100,3873,,3,OK,OK,#00FF00,#00FF00,,22.253695,-97.836525,"[100.0, 220.0, 340.0]","[70.5, 70.5, 70.0]",30
REGION 4,TA2647U850,,22018,3,OK,OK,#00FF00,#00FF00,,22.253695,-97.836525,"[100.0, 220.0, 340.0]","[70.5, 70.5, 70.0]",30
REGION 4,TA9276U1900,,22018,3,OK,OK,#00FF00,#00FF00,,22.253695,-97.836525,"[100.0, 220.0, 340.0]","[70.5, 70.5, 70.0]",30
REGION 9,MX0314L2100,535,,3,OK,OK,#00FF00,#00FF00,,19.545006,-99.18908,"[37.0, 172.0, 297.0]","[65.0, 65.0, 65.0]",19
REGION 9,MX0387U1900,,41004,3,OK,OK,#00FF00,#00FF00,,19.545006,-99.18908,"[37.0, 172.0, 297.0]","[65.0, 65.0, 65.0]",19
REGION 9,MX0314U850,,41004,3,OK,OK,#00FF00,#00FF00,,19.545006,-99.18908,"[37.0, 172.0, 297.0]","[65.0, 65.0, 65.0]",19
REGION 6,GT2276L2100,23331,,3,OK,OK,#00FF00,#00FF00,,20.95607,-101.36075,"[0.0, 55.0, 205.0]","[65.0, 65.0, 65.0]",6
REGION 6,GT3730U1900,,33033,3,OK,OK,#00FF00,#00FF00,,20.95607,-101.36075,"[0.0, 55.0, 205.0]","[65.0, 65.0, 65.0]",6
REGION 9,092654L2100,569,,3,OK,OK,#00FF00,#00FF00,,19.340414,-99.190506,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 9,090673U1900,,12060,3,OK,OK,#00FF00,#00FF00,,19.340414,-99.190506,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 6,GT2751L2100,23332,,3,OK,OK,#00FF00,#00FF00,,20.790071,-101.341354,"[120.0, 190.0, 240.0]","[69.5, 69.5, 69.5]",40
REGION 6,GT2751U850,,41033,3,OK,OK,#00FF00,#00FF00,,20.790071,-101.341354,"[120.0, 190.0, 240.0]","[69.5, 69.5, 69.5]",40
REGION 6,GT4609U1900,,41033,3,OK,OK,#00FF00,#00FF00,,20.790071,-101.341354,"[120.0, 190.0, 240.0]","[69.5, 69.5, 69.5]",40
REGION 3,CH0382L2100,9474,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.031298,-107.47142,"[325.0, 140.0, 220.0]","[65.0, 65.0, 65.0]",38
REGION 3,CH0383U1900,,29037,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.031298,-107.47142,"[325.0, 140.0, 220.0]","[65.0, 65.0, 65.0]",38
REGION 3,CH0382U850,,29037,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.031298,-107.47142,"[325.0, 140.0, 220.0]","[65.0, 65.0, 65.0]",38
REGION 4,NL3369L2100,3863,,3,OK,OK,#00FF00,#00FF00,,25.66361,-100.121056,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 4,NL3369U850,,12016,3,OK,OK,#00FF00,#00FF00,,25.66361,-100.121056,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 4,NL5163U1900,,12016,3,OK,OK,#00FF00,#00FF00,,25.66361,-100.121056,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 2,SO7701L2100,12822,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.110434,-111.038376,"[25.0, 124.0, 230.0]","[68.0, 68.0, 68.0]",36.2
REGION 2,SO1213U850,,41061,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.110434,-111.038376,"[25.0, 124.0, 230.0]","[68.0, 68.0, 68.0]",36.2
REGION 2,SO7701U850,,41061,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.110434,-111.038376,"[25.0, 124.0, 230.0]","[68.0, 68.0, 68.0]",36.2
REGION 2,SO3509U1900,,41061,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.110434,-111.038376,"[25.0, 124.0, 230.0]","[68.0, 68.0, 68.0]",36.2
REGION 4,NL1612L2100,3853,,3,OK,OK,#00FF00,#00FF00,,24.854115,-99.55679,"[65.0, 185.0, 320.0]","[70.0, 70.0, 70.0]",37.5
REGION 4,NL1612U850,,24014,3,OK,OK,#00FF00,#00FF00,,24.854115,-99.55679,"[65.0, 185.0, 320.0]","[70.0, 70.0, 70.0]",37.5
REGION 4,NL4926U1900,,24014,3,OK,OK,#00FF00,#00FF00,,24.854115,-99.55679,"[65.0, 185.0, 320.0]","[70.0, 70.0, 70.0]",37.5
REGION 2,SI1387L2100,12547,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,24.861609,-107.22683,"[140.0, 290.0, 90.0]","[65.0, 65.0, 65.0]",24
REGION 2,SI4676U1900,,23329,3,OK,NOK,#00FF00,#000000,Relación sin existencia,24.861609,-107.22683,"[140.0, 290.0, 90.0]","[65.0, 65.0, 65.0]",24
REGION 2,SI1387U850,,23329,3,OK,NOK,#00FF00,#000000,Relación sin existencia,24.861609,-107.22683,"[140.0, 290.0, 90.0]","[65.0, 65.0, 65.0]",24
REGION 2,SO1268L2100,12804,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.04936,-111.00415,"[320.0, 95.0, 250.0]","[70.5, 70.5, 70.5]",24
REGION 2,SO1268U850,,21050,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.04936,-111.00415,"[320.0, 95.0, 250.0]","[70.5, 70.5, 70.5]",24
REGION 2,SO7060U1900,,21050,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.04936,-111.00415,"[320.0, 95.0, 250.0]","[70.5, 70.5, 70.5]",24
REGION 6,QU7000L2100,23314,,3,OK,OK,#00FF00,#00FF00,,20.5969,-100.39325,"[95.0, 199.0, 308.0]","[65.0, 65.0, 65.0]",26.4
REGION 6,QU7000U850,,12058,3,OK,OK,#00FF00,#00FF00,,20.5969,-100.39325,"[95.0, 199.0, 308.0]","[65.0, 65.0, 65.0]",26.4
REGION 6,QU4093U1900,,12058,3,OK,OK,#00FF00,#00FF00,,20.5969,-100.39325,"[95.0, 199.0, 308.0]","[65.0, 65.0, 65.0]",26.4
REGION 9,MX0306L2100,3076,,3,OK,OK,#00FF00,#00FF00,,19.978624,-99.861145,"[22.0, 82.0, 307.0]","[65.0, 65.0, 65.0]",40
REGION 9,MX0306U850,,27012,3,OK,OK,#00FF00,#00FF00,,19.978624,-99.861145,"[22.0, 82.0, 307.0]","[65.0, 65.0, 65.0]",40
REGION 9,MX0375U1900,,27012,3,OK,OK,#00FF00,#00FF00,,19.978624,-99.861145,"[22.0, 82.0, 307.0]","[65.0, 65.0, 65.0]",40
REGION 9,MO4378L2100,574,,3,OK,OK,#00FF00,#00FF00,,18.796072,-98.911896,"[17.0, 158.0, 272.0]","[70.5, 68.0, 70.0]",32
REGION 9,MO4378U850,,12000,3,OK,OK,#00FF00,#00FF00,,18.796072,-98.911896,"[17.0, 158.0, 272.0]","[70.5, 68.0, 70.0]",32
REGION 9,MO1238U1900,,12000,3,OK,OK,#00FF00,#00FF00,,18.796072,-98.911896,"[17.0, 158.0, 272.0]","[70.5, 68.0, 70.0]",32
REGION 6,GT0241L2100,23313,,3,OK,OK,#00FF00,#00FF00,,20.510834,-100.84147,"[340.0, 100.0, 237.0]","[70.5, 66.5, 66.5]",20
REGION 6,GT3149U1900,,12057,3,OK,OK,#00FF00,#00FF00,,20.510834,-100.84147,"[340.0, 100.0, 237.0]","[70.5, 66.5, 66.5]",20
REGION 9,HI6458L2100,1802,,3,OK,OK,#00FF00,#00FF00,,20.41014,-98.71372,"[47.0, 207.0, 317.0]","[65.0, 65.0, 65.0]",30
REGION 9,HI6458U850,,36007,3,OK,OK,#00FF00,#00FF00,,20.41014,-98.71372,"[47.0, 207.0, 317.0]","[65.0, 65.0, 65.0]",30
REGION 9,HI1540U1900,,36007,3,OK,OK,#00FF00,#00FF00,,20.41014,-98.71372,"[47.0, 207.0, 317.0]","[65.0, 65.0, 65.0]",30
REGION 9,MX0370L2100,591,,3,OK,OK,#00FF00,#00FF00,,19.420626,-98.9357,"[57.0, 157.0, 267.0]","[69.0, 69.0, 69.0]",24
REGION 9,MX0370U850,,13010,3,OK,OK,#00FF00,#00FF00,,19.420626,-98.9357,"[57.0, 157.0, 267.0]","[69.0, 69.0, 69.0]",24
REGION 9,MX4579U1900,,13010,3,OK,OK,#00FF00,#00FF00,,19.420626,-98.9357,"[57.0, 157.0, 267.0]","[69.0, 69.0, 69.0]",24
REGION 6,QU3185L2100,23300,,2,OK,OK,#00FF00,#00FF00,,20.68389,-99.83103,"[60.0, 250.0, 60.0]","[69.5, 69.5, 69.5]",50
REGION 6,QU1487U1900,,21034,3,OK,OK,#00FF00,#00FF00,,20.68389,-99.83103,"[60.0, 250.0, 60.0]","[69.5, 69.5, 69.5]",50
REGION 6,QU3185U850,,21034,3,OK,OK,#00FF00,#00FF00,,20.68389,-99.83103,"[60.0, 250.0, 60.0]","[69.5, 69.5, 69.5]",50
REGION 9,DF0036L2100,586,,3,OK,OK,#00FF00,#00FF00,,19.32075,-99.11198,"[37.0, 167.0, 287.0]","[70.5, 68.5, 66.5]",25.5
REGION 9,DF0036U850,,14011,3,OK,OK,#00FF00,#00FF00,,19.32075,-99.11198,"[37.0, 167.0, 287.0]","[70.5, 68.5, 66.5]",25.5
REGION 9,DF1343U1900,,14011,3,OK,OK,#00FF00,#00FF00,,19.32075,-99.11198,"[37.0, 167.0, 287.0]","[70.5, 68.5, 66.5]",25.5
REGION 9,099883L2100,594,,3,OK,OK,#00FF00,#00FF00,,19.438095,-99.143234,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 9,099883U850,,13003,3,OK,OK,#00FF00,#00FF00,,19.438095,-99.143234,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 6,QU2933L2100,23312,,3,OK,OK,#00FF00,#00FF00,,20.636736,-100.48022,"[30.0, 190.0, 280.0]","[65.0, 65.0, 65.0]",30.4
REGION 6,QU4642U1900,,12034,3,OK,OK,#00FF00,#00FF00,,20.636736,-100.48022,"[30.0, 190.0, 280.0]","[65.0, 65.0, 65.0]",30.4
REGION 6,QU2933U850,,12034,3,OK,OK,#00FF00,#00FF00,,20.636736,-100.48022,"[30.0, 190.0, 280.0]","[65.0, 65.0, 65.0]",30.4
REGION 3,CH1534L2100,18173,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.719608,-106.495094,"[20.0, 193.0, 300.0]","[68.5, 69.0, 70.0]",24
REGION 3,CH1534U850,,13070,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.719608,-106.495094,"[20.0, 193.0, 300.0]","[68.5, 69.0, 70.0]",24
REGION 3,CH4122U1900,,13070,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.719608,-106.495094,"[20.0, 193.0, 300.0]","[68.5, 69.0, 70.0]",24
REGION 6,SL2074L2100,28419,,3,OK,OK,#00FF00,#00FF00,,22.189056,-101.02839,"[0.0, 90.0, 170.0]","[66.5, 66.5, 66.5]",40
REGION 6,SL2074U850,,12035,3,OK,OK,#00FF00,#00FF00,,22.189056,-101.02839,"[0.0, 90.0, 170.0]","[66.5, 66.5, 66.5]",40
REGION 6,SL2099U1900,,12035,3,OK,OK,#00FF00,#00FF00,,22.189056,-101.02839,"[0.0, 90.0, 170.0]","[66.5, 66.5, 66.5]",40
REGION 9,MX2960L2100,573,,3,OK,OK,#00FF00,#00FF00,,19.251719,-98.90228,"[37.0, 182.0, 297.0]","[65.0, 65.0, 65.0]",22
REGION 9,MX2960U850,,12002,3,OK,OK,#00FF00,#00FF00,,19.251719,-98.90228,"[37.0, 182.0, 297.0]","[65.0, 65.0, 65.0]",22
REGION 9,MX2373U1900,,12002,3,OK,OK,#00FF00,#00FF00,,19.251719,-98.90228,"[37.0, 182.0, 297.0]","[65.0, 65.0, 65.0]",22
REGION 4,NL4648L2100,3872,,3,OK,OK,#00FF00,#00FF00,,25.638643,-100.33811,"[65.0, 215.0, 290.0]","[69.0, 70.5, 68.0]",25
REGION 4,NL1472U1900,,22014,3,OK,OK,#00FF00,#00FF00,,25.638643,-100.33811,"[65.0, 215.0, 290.0]","[69.0, 70.5, 68.0]",25
REGION 4,NL4648U850,,22014,3,OK,OK,#00FF00,#00FF00,,25.638643,-100.33811,"[65.0, 215.0, 290.0]","[69.0, 70.5, 68.0]",25
REGION 6,GT4687L2100,23338,,3,OK,OK,#00FF00,#00FF00,,20.392881,-100.96424,"[0.0, 130.0, 250.0]","[70.0, 70.0, 70.0]",53.7
REGION 6,GT4687U850,,33057,3,OK,OK,#00FF00,#00FF00,,20.392881,-100.96424,"[0.0, 130.0, 250.0]","[70.0, 70.0, 70.0]",53.7
REGION 6,GT4800U1900,,33057,3,OK,OK,#00FF00,#00FF00,,20.392881,-100.96424,"[0.0, 130.0, 250.0]","[70.0, 70.0, 70.0]",53.7
REGION 4,NL4319L2100,3865,,3,OK,OK,#00FF00,#00FF00,,25.67456,-100.33746,"[72.0, 180.0, 300.0]","[70.0, 70.0, 70.5]",25
REGION 4,NL4319U850,,12015,3,OK,OK,#00FF00,#00FF00,,25.67456,-100.33746,"[72.0, 180.0, 300.0]","[70.0, 70.0, 70.5]",25
REGION 4,NL1462U1900,,12015,3,OK,OK,#00FF00,#00FF00,,25.67456,-100.33746,"[72.0, 180.0, 300.0]","[70.0, 70.0, 70.5]",25
REGION 9,MX0310L2100,596,,3,OK,OK,#00FF00,#00FF00,,19.182026,-99.45637,"[77.0, 187.0, 277.0]","[65.0, 65.0, 65.0]",23
REGION 9,MX0380U1900,,22012,3,OK,OK,#00FF00,#00FF00,,19.182026,-99.45637,"[77.0, 187.0, 277.0]","[65.0, 65.0, 65.0]",23
REGION 9,MX0310U850,,22012,3,OK,OK,#00FF00,#00FF00,,19.182026,-99.45637,"[77.0, 187.0, 277.0]","[65.0, 65.0, 65.0]",23
REGION 9,092020L2100,568,,3,OK,OK,#00FF00,#00FF00,,19.435043,-99.20213,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 9,092021U1900,,12108,3,OK,OK,#00FF00,#00FF00,,19.435043,-99.20213,"[7.0, 7.0, 7.0]","[71.9, 71.9, 71.9]",3
REGION 2,SO3982L2100,12826,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.426855,-110.38977,"[0.0, 150.0, 241.0]","[70.5, 70.5, 70.5]",15
REGION 2,SO6531U1900,,25050,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.426855,-110.38977,"[0.0, 150.0, 241.0]","[70.5, 70.5, 70.5]",15
REGION 2,SO3982U850,,25050,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.426855,-110.38977,"[0.0, 150.0, 241.0]","[70.5, 70.5, 70.5]",15
REGION 9,DF0075L2100,558,,3,OK,OK,#00FF00,#00FF00,,19.450752,-99.14643,"[46.0, 156.0, 276.0]","[69.0, 69.0, 66.5]",32
REGION 9,DF0075U850,,41000,3,OK,OK,#00FF00,#00FF00,,19.450752,-99.14643,"[46.0, 156.0, 276.0]","[69.0, 69.0, 66.5]",32
REGION 9,DF1245U1900,,41000,3,OK,OK,#00FF00,#00FF00,,19.450752,-99.14643,"[46.0, 156.0, 276.0]","[69.0, 69.0, 66.5]",32
REGION 6,GT7520L2100,23331,,3,OK,OK,#00FF00,#00FF00,,21.023814,-101.475903,"[74.0, 165.0, 278.0]","[59.5, 59.1, 59.5]",35.2
REGION 6,GT7529U1900,,33033,3,OK,OK,#00FF00,#00FF00,,21.023814,-101.475903,"[74.0, 165.0, 278.0]","[59.5, 59.1, 59.5]",35.2
REGION 6,GT7520U850,,33033,3,OK,OK,#00FF00,#00FF00,,21.023814,-101.475903,"[74.0, 165.0, 278.0]","[59.5, 59.1, 59.5]",35.2
REGION 9,DF0240L2100,570,,3,OK,OK,#00FF00,#00FF00,,19.419039,-99.13768,"[32.0, 137.0, 282.0]","[65.0, 65.0, 65.0]",20
REGION 9,DF0240U850,,12008,3,OK,OK,#00FF00,#00FF00,,19.419039,-99.13768,"[32.0, 137.0, 282.0]","[65.0, 65.0, 65.0]",20
REGION 9,DF1382U1900,,12008,3,OK,OK,#00FF00,#00FF00,,19.419039,-99.13768,"[32.0, 137.0, 282.0]","[65.0, 65.0, 65.0]",20
REGION 2,SI5237L2100,13061,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,23.862125,-106.84613,"[350.0, 230.0, 300.0]","[65.0, 65.0, 65.0]",24
REGION 2,SI4712U1900,,23051,3,OK,NOK,#00FF00,#000000,Relación sin existencia,23.862125,-106.84613,"[350.0, 230.0, 300.0]","[65.0, 65.0, 65.0]",24
REGION 2,SI5237U850,,23051,3,OK,NOK,#00FF00,#000000,Relación sin existencia,23.862125,-106.84613,"[350.0, 230.0, 300.0]","[65.0, 65.0, 65.0]",24
REGION 3,CH1537L2100,18173,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.717054,-106.459404,"[350.0, 152.0, 240.0]","[70.0, 70.5, 70.0]",29
REGION 3,CH1537U850,,13070,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.717054,-106.459404,"[350.0, 152.0, 240.0]","[70.0, 70.5, 70.0]",29
REGION 3,CH4134U1900,,13070,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.717054,-106.459404,"[350.0, 152.0, 240.0]","[70.0, 70.5, 70.0]",29
REGION 9,MX0109L2100,614,,3,OK,OK,#00FF00,#00FF00,,19.452175,-99.050896,"[43.0, 148.0, 273.0]","[69.5, 69.0, 68.5]",19.95
REGION 9,MX0109U850,,31081,3,OK,OK,#00FF00,#00FF00,,19.452175,-99.050896,"[43.0, 148.0, 273.0]","[69.5, 69.0, 68.5]",19.95
REGION 9,MX1317U1900,,31081,3,OK,OK,#00FF00,#00FF00,,19.452175,-99.050896,"[43.0, 148.0, 273.0]","[69.5, 69.0, 68.5]",19.95
REGION 3,CH2675L2100,18180,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,30.40674,-107.92443,"[10.0, 90.0, 170.0]","[70.5, 70.5, 70.5]",35
REGION 3,CH3680U1900,,12070,3,OK,NOK,#00FF00,#000000,Relación sin existencia,30.40674,-107.92443,"[10.0, 90.0, 170.0]","[70.5, 70.5, 70.5]",35
REGION 1,BN1651L2100,14080,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.450583,-116.997388,"[27.0, 187.0, 292.0]","[69.0, 70.0, 70.0]",24
REGION 1,BN1651U850,,41044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.450583,-116.997388,"[27.0, 187.0, 292.0]","[69.0, 70.0, 70.0]",24
REGION 1,BN2780U1900,,41044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.450583,-116.997388,"[27.0, 187.0, 292.0]","[69.0, 70.0, 70.0]",24
REGION 4,TA8105L2100,3873,,3,OK,OK,#00FF00,#00FF00,,22.304056,-97.81675,"[180.0, 220.0, 315.0]","[65.0, 65.0, 65.0]",50
REGION 4,TA4058U1900,,22018,3,OK,OK,#00FF00,#00FF00,,22.304056,-97.81675,"[180.0, 220.0, 315.0]","[65.0, 65.0, 65.0]",50
REGION 4,TA8105U850,,22018,3,OK,OK,#00FF00,#00FF00,,22.304056,-97.81675,"[180.0, 220.0, 315.0]","[65.0, 65.0, 65.0]",50
REGION 4,CO0255L2100,3876,,3,OK,OK,#00FF00,#00FF00,,25.462152,-100.93504,"[52.0, 215.0, 340.0]","[65.0, 65.0, 65.0]",25.5
REGION 4,CO0258U1900,,13014,3,OK,OK,#00FF00,#00FF00,,25.462152,-100.93504,"[52.0, 215.0, 340.0]","[65.0, 65.0, 65.0]",25.5
REGION 4,CO0255U850,,13014,3,OK,OK,#00FF00,#00FF00,,25.462152,-100.93504,"[52.0, 215.0, 340.0]","[65.0, 65.0, 65.0]",25.5
REGION 3,CH4857L2100,18175,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,26.94111,-105.71678,"[355.0, 120.0, 245.0]","[58.0, 55.5, 58.7]",30
REGION 3,CH4857U850,,16071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,26.94111,-105.71678,"[355.0, 120.0, 245.0]","[58.0, 55.5, 58.7]",30
REGION 3,CH5095U1900,,16071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,26.94111,-105.71678,"[355.0, 120.0, 245.0]","[58.0, 55.5, 58.7]",30
REGION 9,MX9357L2100,593,,3,OK,OK,#00FF00,#00FF00,,19.250156,-99.5771,"[22.0, 157.0, 257.0]","[65.0, 65.0, 65.0]",21
REGION 9,MX3175U1900,,32012,3,OK,OK,#00FF00,#00FF00,,19.250156,-99.5771,"[22.0, 157.0, 257.0]","[65.0, 65.0, 65.0]",21
REGION 4,NL0931L2100,3865,,3,OK,OK,#00FF00,#00FF00,,25.678139,-100.31355,"[55.0, 180.0, 310.0]","[70.0, 70.5, 69.0]",33
REGION 4,NL0931U850,,12015,3,OK,OK,#00FF00,#00FF00,,25.678139,-100.31355,"[55.0, 180.0, 310.0]","[70.0, 70.5, 69.0]",33
REGION 4,NL1329U1900,,12015,3,OK,OK,#00FF00,#00FF00,,25.678139,-100.31355,"[55.0, 180.0, 310.0]","[70.0, 70.5, 69.0]",33
REGION 4,NL8695U850,,12015,3,OK,OK,#00FF00,#00FF00,,25.678139,-100.31355,"[55.0, 180.0, 310.0]","[70.0, 70.5, 69.0]",33
REGION 2,SO5889L2100,12808,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.26232,-110.945946,"[80.0, 152.0, 263.0]","[68.0, 70.5, 68.0]",42.4
REGION 2,SO5889U850,,21052,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.26232,-110.945946,"[80.0, 152.0, 263.0]","[68.0, 70.5, 68.0]",42.4
REGION 2,SO6204U1900,,21052,3,OK,NOK,#00FF00,#000000,Relación sin existencia,31.26232,-110.945946,"[80.0, 152.0, 263.0]","[68.0, 70.5, 68.0]",42.4
REGION 6,JL6967L2100,23324,,3,OK,OK,#00FF00,#00FF00,,21.534195,-102.23714,"[345.0, 160.0, 240.0]","[69.5, 70.5, 69.5]",51
REGION 6,JL6967U850,,31091,3,OK,OK,#00FF00,#00FF00,,21.534195,-102.23714,"[345.0, 160.0, 240.0]","[69.5, 70.5, 69.5]",51
REGION 6,JL1392U1900,,31091,3,OK,OK,#00FF00,#00FF00,,21.534195,-102.23714,"[345.0, 160.0, 240.0]","[69.5, 70.5, 69.5]",51
REGION 1,BS4142L2100,14097,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,22.955288,-109.93163,"[40.0, 105.0, 300.0]","[65.0, 65.0, 65.0]",33.5
REGION 1,BS4142U850,,22042,3,OK,NOK,#00FF00,#000000,Relación sin existencia,22.955288,-109.93163,"[40.0, 105.0, 300.0]","[65.0, 65.0, 65.0]",33.5
REGION 1,BS4157U1900,,22042,3,OK,NOK,#00FF00,#000000,Relación sin existencia,22.955288,-109.93163,"[40.0, 105.0, 300.0]","[65.0, 65.0, 65.0]",33.5
REGION 1,BN1841L2100,14082,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.503544,-116.895827,"[52.0, 182.0, 312.0]","[70.5, 70.5, 66.5]",24
REGION 1,BN2788U1900,,21044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.503544,-116.895827,"[52.0, 182.0, 312.0]","[70.5, 70.5, 66.5]",24
REGION 1,BN1841U850,,21044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.503544,-116.895827,"[52.0, 182.0, 312.0]","[70.5, 70.5, 66.5]",24
REGION 3,CH1874L2100,18184,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.595861,-106.155975,"[300.0, 135.0, 205.0]","[70.0, 70.5, 70.5]",30
REGION 3,CH2329U1900,,21071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.595861,-106.155975,"[300.0, 135.0, 205.0]","[70.0, 70.5, 70.5]",30
REGION 3,CH1874U850,,21071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.595861,-106.155975,"[300.0, 135.0, 205.0]","[70.0, 70.5, 70.5]",30
REGION 4,CO1197L2100,3876,,3,OK,OK,#00FF00,#00FF00,,25.470112,-100.97647,"[70.0, 180.0, 300.0]","[70.5, 68.5, 69.0]",27
REGION 4,CO1197U850,,13014,3,OK,OK,#00FF00,#00FF00,,25.470112,-100.97647,"[70.0, 180.0, 300.0]","[70.5, 68.5, 69.0]",27
REGION 4,CO6128U1900,,13014,3,OK,OK,#00FF00,#00FF00,,25.470112,-100.97647,"[70.0, 180.0, 300.0]","[70.5, 68.5, 69.0]",27
REGION 9,MX0156L2100,577,,3,OK,OK,#00FF00,#00FF00,,19.46375,-99.21828,"[55.0, 145.0, 287.0]","[65.0, 65.0, 65.0]",24
REGION 9,MX0156U850,,13004,3,OK,OK,#00FF00,#00FF00,,19.46375,-99.21828,"[55.0, 145.0, 287.0]","[65.0, 65.0, 65.0]",24
REGION 9,MX3526U1900,,13004,3,OK,OK,#00FF00,#00FF00,,19.46375,-99.21828,"[55.0, 145.0, 287.0]","[65.0, 65.0, 65.0]",24
REGION 6,GT7466L2100,23328,,3,OK,OK,#00FF00,#00FF00,,21.112057,-101.711525,"[30.0, 150.0, 265.0]","[70.5, 70.5, 69.5]",29.8
REGION 6,GT7466U850,,31033,3,OK,OK,#00FF00,#00FF00,,21.112057,-101.711525,"[30.0, 150.0, 265.0]","[70.5, 70.5, 69.5]",29.8
REGION 6,GT6044U1900,,31033,3,OK,OK,#00FF00,#00FF00,,21.112057,-101.711525,"[30.0, 150.0, 265.0]","[70.5, 70.5, 69.5]",29.8
REGION 4,NL4808L2100,3865,,3,OK,OK,#00FF00,#00FF00,,25.674372,-100.36177,"[95.0, 160.0, 245.0]","[68.0, 66.5, 68.0]",30
REGION 4,NL4808U850,,12015,3,OK,OK,#00FF00,#00FF00,,25.674372,-100.36177,"[95.0, 160.0, 245.0]","[68.0, 66.5, 68.0]",30
REGION 4,NL5153U1900,,12015,3,OK,OK,#00FF00,#00FF00,,25.674372,-100.36177,"[95.0, 160.0, 245.0]","[68.0, 66.5, 68.0]",30
REGION 9,MX0046L2100,578,,3,OK,OK,#00FF00,#00FF00,,19.619917,-99.2375,"[27.0, 137.0, 277.0]","[66.5, 66.5, 69.5]",23
REGION 9,MX0046U850,,22004,3,OK,OK,#00FF00,#00FF00,,19.619917,-99.2375,"[27.0, 137.0, 277.0]","[66.5, 66.5, 69.5]",23
REGION 9,MX1301U1900,,22004,3,OK,OK,#00FF00,#00FF00,,19.619917,-99.2375,"[27.0, 137.0, 277.0]","[66.5, 66.5, 69.5]",23
REGION 9,HI2389L2100,1794,,3,OK,OK,#00FF00,#00FF00,,20.197573,-98.249504,"[37.0, 157.0, 277.0]","[68.0, 68.0, 68.0]",60
REGION 9,HI2389U850,,28007,3,OK,OK,#00FF00,#00FF00,,20.197573,-98.249504,"[37.0, 157.0, 277.0]","[68.0, 68.0, 68.0]",60
REGION 9,HI1565U1900,,28007,3,OK,OK,#00FF00,#00FF00,,20.197573,-98.249504,"[37.0, 157.0, 277.0]","[68.0, 68.0, 68.0]",60
REGION 9,093800L2100,568,,3,OK,OK,#00FF00,#00FF00,,19.441818,-99.20177,"[7.0, 7.0, 7.0]","[68.0, 68.0, 68.0]",3
REGION 9,093800U850,,12108,3,OK,OK,#00FF00,#00FF00,,19.441818,-99.20177,"[7.0, 7.0, 7.0]","[68.0, 68.0, 68.0]",3
REGION 9,DF4612L2100,587,,3,OK,OK,#00FF00,#00FF00,,19.283628,-99.12756,"[30.0, 150.0, 270.0]","[65.0, 65.0, 65.0]",25
